date,year,month,business,restricted_economy,best_discount
2000-01-01,2000,1,90.2350689946168,,103.1317192722481
2000-02-01,2000,2,90.2350689946168,,136.90450371971704
2000-03-01,2000,3,90.2350689946168,,135.59049239181695
2000-04-01,2000,4,89.59236907300271,,142.37992969437116
2000-05-01,2000,5,92.72347018629966,,101.67391442535323
2000-06-01,2000,6,92.75486513100954,,138.4072569551758
2000-07-01,2000,7,96.03878631009916,,109.28928044239079
2000-08-01,2000,8,96.03878631009916,,139.33517032493967
2000-09-01,2000,9,96.04735592448802,,75.2909963659381
2000-10-01,2000,10,95.78457246094634,,134.7497072393322
2000-11-01,2000,11,95.79856327155196,,128.39358533238052
2000-12-01,2000,12,95.8167886150911,,122.82992235655513
2001-01-01,2001,1,95.01765915893273,,83.05475274572636
2001-02-01,2001,2,94.97283494541922,,109.51267492155569
2001-03-01,2001,3,94.99090038050657,,102.74247606455326
2001-04-01,2001,4,95.79948058312027,,82.44594406161067
2001-05-01,2001,5,95.86371923086527,,107.54940012548076
2001-06-01,2001,6,95.88048139120959,,105.81640729337515
2001-07-01,2001,7,97.46208613947499,,111.94385410899402
2001-08-01,2001,8,97.45348646119518,,106.66840688099933
2001-09-01,2001,9,97.61069253666456,,121.42204285490057
2001-10-01,2001,10,96.74707582252796,,121.33551494885353
2001-11-01,2001,11,96.74565698421509,,114.26630933839412
2001-12-01,2001,12,96.74565698421509,,121.7059858928377
2002-01-01,2002,1,95.93257351538202,,103.33110923365514
2002-02-01,2002,2,96.21901202547431,,102.34581703259123
2002-03-01,2002,3,96.68825413035796,107.04442717162684,124.19117173875297
2002-04-01,2002,4,95.97380607370211,108.46640548153313,125.44323770101317
2002-05-01,2002,5,96.00189335815783,105.03201231334141,108.89460038537516
2002-06-01,2002,6,96.02693535224341,104.84238728061257,109.53806661594784
2002-07-01,2002,7,95.69562450796388,106.13202959984655,113.56545949817638
2002-08-01,2002,8,96.8431844651276,104.42007347947835,112.48839743283445
2002-09-01,2002,9,96.62150323112462,104.48243401867205,111.802876020223
2002-10-01,2002,10,95.87085048322896,105.04901475161476,113.50185227700656
2002-11-01,2002,11,98.86161027221507,104.9382917221857,113.79260572212132
2002-12-01,2002,12,99.77172933910255,104.78638131418636,113.29687911289192
2003-01-01,2003,1,98.38728545934374,103.93560359678762,101.03188660556354
2003-02-01,2003,2,95.23722182949011,103.94105899103637,92.83903027975654
2003-03-01,2003,3,99.73221915080174,103.3351866611333,106.18647030518406
2003-04-01,2003,4,100.71338286814452,102.2332378261094,104.36158350152226
2003-05-01,2003,5,100.49507492400707,104.54757400579798,104.19815942380596
2003-06-01,2003,6,100.48445376037148,102.18720770379154,99.5193684535633
2003-07-01,2003,7,100.00000000000001,100.0,100.0
2003-08-01,2003,8,98.90725930209035,99.11423030537628,102.49055468251429
2003-09-01,2003,9,103.52006159550419,99.89367420902626,118.47665210246659
2003-10-01,2003,10,102.99467320224801,99.14545407293859,103.73937036819348
2003-11-01,2003,11,103.39519731046944,97.03177506582249,98.13607452194391
2003-12-01,2003,12,103.18836612645768,97.06183542410173,115.20653460480139
2004-01-01,2004,1,102.12287493764782,98.31866561150579,96.75554646667184
2004-02-01,2004,2,102.11478459724162,97.98906730381489,96.62147725251347
2004-03-01,2004,3,102.11343185697112,98.01239718605522,118.3330496154045
2004-04-01,2004,4,102.23574031299873,97.54502843183252,89.4885200015246
2004-05-01,2004,5,102.00958257726381,103.19814381045236,85.5011222388527
2004-06-01,2004,6,101.48421895912875,102.74737202314296,94.57877803155579
2004-07-01,2004,7,102.78001574748882,102.1658243250792,74.2759724305139
2004-08-01,2004,8,102.81640577252882,102.32459594137518,83.90212492925299
2004-09-01,2004,9,107.19588799939301,103.86367637097074,92.89244364404642
2004-10-01,2004,10,106.44222077192411,103.76693048938468,74.24007742763335
2004-11-01,2004,11,106.7104581582347,104.79474754895871,86.36401426210408
2004-12-01,2004,12,106.70450935516993,104.77767791781203,95.87352758942562
2005-01-01,2005,1,106.26478648046407,106.68760255376182,80.90032696938948
2005-02-01,2005,2,106.18300140816152,105.92123913119474,82.08163416593136
2005-03-01,2005,3,106.12341100296187,108.38791214894586,87.91467749022242
2005-04-01,2005,4,106.49150803145831,107.83686610967916,83.21868815401359
2005-05-01,2005,5,107.93712073494807,94.28606379631361,84.12029708049066
2005-06-01,2005,6,108.83526505743244,94.5429118971409,94.2865471131442
2005-07-01,2005,7,106.92920121634697,94.03722307468053,68.0094352570885
2005-08-01,2005,8,107.80258403435286,93.53663306749026,87.91537510806813
2005-09-01,2005,9,108.6485308346374,94.5352336417217,102.27893747161258
2005-10-01,2005,10,100.71041466158348,93.91313126397333,87.14842493260973
2005-11-01,2005,11,95.83076780959365,94.1304461812442,91.97530849728076
2005-12-01,2005,12,95.45033741664678,94.07292667992279,108.47509686705
2006-01-01,2006,1,95.67795352310573,93.29051884260794,76.29122488731197
2006-02-01,2006,2,97.660956350942,92.8824833515469,86.94516668160584
2006-03-01,2006,3,97.35093592795198,93.6281486637307,99.15827028129296
2006-04-01,2006,4,95.89903713607477,91.88970799823183,88.81910205298153
2006-05-01,2006,5,95.7269242004046,91.76806566965232,76.58237759535761
2006-06-01,2006,6,101.47742458500123,93.5298362833463,96.45835490454839
