date,year,month,fare_class,index_value
2010-02-01,2010,2,Business,103.3125666265178
2010-03-01,2010,3,Business,103.3322963107834
2010-04-01,2010,4,Business,94.78484578875516
2010-05-01,2010,5,Business,94.78484578875516
2010-06-01,2010,6,Business,94.78484578875516
2010-07-01,2010,7,Business,94.1124899466911
2010-08-01,2010,8,Business,96.93221581423244
2010-09-01,2010,9,Business,97.92240735063606
2010-10-01,2010,10,Business,97.51818688685636
2010-11-01,2010,11,Business,97.52520984832256
2010-12-01,2010,12,Business,97.60160481207085
2011-01-01,2011,1,Business,99.07746582664616
2011-02-01,2011,2,Business,99.14140895165863
2011-03-01,2011,3,Business,103.9173575190489
2011-04-01,2011,4,Business,104.10005718154622
2011-05-01,2011,5,Business,109.5133844804298
2011-06-01,2011,6,Business,109.5133844804298
2011-07-01,2011,7,Business,107.68817514799971
2011-08-01,2011,8,Business,108.27317225561538
2011-09-01,2011,9,Business,108.34812705019576
2011-10-01,2011,10,Business,108.00614982276166
2011-11-01,2011,11,Business,106.94591296194471
2011-12-01,2011,12,Business,89.59983690692077
2012-01-01,2012,1,Business,78.0377755243591
2012-02-01,2012,2,Business,77.42063689153797
2012-03-01,2012,3,Business,81.85654759893265
2012-04-01,2012,4,Business,80.98956363299132
2012-05-01,2012,5,Business,81.40850658974222
2012-06-01,2012,6,Business,81.0749581284493
2012-07-01,2012,7,Business,63.53567959934152
2012-08-01,2012,8,Business,80.54102336184222
2012-09-01,2012,9,Business,64.28596090656973
2012-10-01,2012,10,Business,63.80206761835208
2012-11-01,2012,11,Business,63.85464075735037
2012-12-01,2012,12,Business,62.91617226718052
2013-01-01,2013,1,Business,63.170062900402186
2013-02-01,2013,2,Business,63.999337728356615
2013-03-01,2013,3,Business,76.48014547825457
2013-04-01,2013,4,Business,75.62262682729353
2013-05-01,2013,5,Business,70.94039394821584
2013-06-01,2013,6,Business,80.04585074983889
2013-07-01,2013,7,Business,73.87573530094305
2013-08-01,2013,8,Business,79.5327885100904
2013-09-01,2013,9,Business,81.88114919025786
2013-10-01,2013,10,Business,81.16222532306391
2013-11-01,2013,11,Business,81.53634678510913
2013-12-01,2013,12,Business,71.05997013932846
2014-01-01,2014,1,Business,83.28039645543825
2014-02-01,2014,2,Business,86.19716797814273
2014-03-01,2014,3,Business,86.37622046017361
2014-04-01,2014,4,Business,91.90269516942054
